#{"t_start": 1789427883.1638968, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
255.0,2349,6579.900354
110.0,1175,6584.709935
110.0,1827,6592.172844
130.0,1535,6598.439737
265.0,2645,6609.25252
410.0,3409,6623.151742
485.0,2925,6635.089046
620.0,3725,6650.445205
125.0,1517,6657.059582
310.0,3059,6670.82613
270.0,2109,6679.628802
195.0,1879,6687.591251
135.0,2501,6698.073068
75.0,1167,6703.469291
200.0,2025,6711.885076
360.0,2031,6720.259048
160.0,1845,6727.711232
320.0,3261,6741.171975
235.0,1887,6748.797616
190.0,1885,6756.230317
185.0,2509,6766.371934
370.0,3379,6780.149391
365.0,2419,6789.994766
305.0,2463,6799.699442
145.0,1523,6805.892646
90.0,1931,6813.505176
195.0,1861,6820.998228
165.0,1841,6828.705654
125.0,1433,6834.500474
470.0,3237,6847.447505
215.0,1923,6855.140362
330.0,3067,6867.663639
230.0,1931,6875.307603
255.0,2391,6884.829826
110.0,1283,6889.946458
240.0,2053,6898.2409
140.0,1933,6905.961792
200.0,2485,6915.99116
150.0,1903,6923.485603
245.0,2067,6931.736427
105.0,1443,6937.422031
245.0,2911,6949.292757
165.0,1919,6957.11601
325.0,3431,6971.081528
195.0,1827,6978.300125
125.0,1507,6984.158928
260.0,3587,6998.747052
165.0,2039,7007.027785
220.0,1653,7013.535416
135.0,1537,7020.091705
280.0,3813,7035.753186
150.0,1845,7043.174881
200.0,2453,7052.957394
195.0,1865,7060.414504
200.0,1985,7068.450694
260.0,2809,7079.769635
235.0,3061,7092.080101
205.0,1975,7099.902571
215.0,1907,7107.61518
215.0,1759,7114.519915
205.0,1899,7122.158286
115.0,1461,7127.931633
175.0,1941,7135.678632
265.0,2045,7143.890378
330.0,3749,7159.03058
245.0,2145,7167.479711
225.0,2807,7178.73992
90.0,1121,7183.243959
400.0,4895,7203.214059
175.0,1983,7211.05868
260.0,2147,7219.55317
235.0,2169,7228.266984
120.0,1887,7235.7642
280.0,2669,7246.494753
235.0,1903,7254.028269
175.0,1989,7261.984411
190.0,1921,7269.633569
140.0,1915,7277.345378
405.0,3995,7293.445513
205.0,2025,7301.476931
155.0,1883,7309.077974
